1,DisplayCard
1,Speaker
2,Desktop
2,DisplayCard
3,Case
3,Speaker
4,Speaker
5,DisplayCard
5,Mouse
6,Maintenance
7,Mouse
7,Desktop
8,Case
9,Desktop
10,Mouse
11,Maintenance
12,Case
13,Case
13,Desktop
13,DisplayCard
13,Mouse
13,Speaker
14,DisplayCard
15,Maintenance
16,Mouse
17,Maintenance
18,DisplayCard
19,Case
19,Desktop
19,DisplayCard
19,Mouse
19,Speaker
20,Maintenance
21,Case
22,Case
22,DisplayCard
23,Desktop
23,DisplayCard
23,Mouse
23,Speaker
24,Desktop
24,DisplayCard
25,Case
25,Desktop
25,DisplayCard
25,Mouse
25,Speaker
26,Case
26,DisplayCard
26,Speaker
27,Case
27,Desktop
27,DisplayCard
28,Case
28,Desktop
28,DisplayCard
28,Mouse
28,Speaker
29,Desktop
30,DisplayCard
31,DisplayCard
32,Maintenance
33,Case
34,Maintenance
35,Case
36,DisplayCard
37,Case
37,Desktop
37,Mouse
38,Desktop
38,Case
39,Maintenance
40,Desktop
41,Case
42,Desktop
43,Maintenance
44,Case
45,DisplayCard
46,Desktop
46,DisplayCard
46,Mouse
47,Case
48,Maintenance
49,Case
49,DisplayCard
49,Speaker
50,Case
50,Desktop
50,DisplayCard
50,Mouse
50,Speaker